threshold,support,chunk_size,frequent_items,time
0.01,8,881,70,1493.4349060058594
0.01,44,4408,70,8991.194248199463
0.01,88,8816,72,20771.49200439453
0.01,176,17632,64,47731.08792304993
0.01,264,26448,64,87620.55087089539
0.01,352,35264,61,133106.58812522888
0.01,440,44081,59,198348.58798980713
0.01,528,52897,56,258325.5422115326
0.01,617,61713,51,337408.0469608307
0.01,705,70529,48,423621.00100517273
0.01,793,79345,50,535294.3110466003
0.01,881,88162,50,650409.7650051117
