threshold,support,chunk_size,frequent_items,time
0.01,8,881,1,9.086132049560547
0.01,44,4408,0,23.932218551635742
0.01,88,8816,0,42.35196113586426
0.01,176,17632,1,76.21598243713379
0.01,264,26448,0,107.51199722290039
0.01,352,35264,0,145.29109001159668
0.01,440,44081,0,167.7260398864746
0.01,528,52897,0,221.82917594909668
0.01,617,61713,1,247.4973201751709
0.01,705,70529,1,264.5759582519531
0.01,793,79345,1,323.72283935546875
0.01,881,88162,0,353.2590866088867
0.05,44,881,0,10.581016540527344
0.05,220,4408,0,20.315885543823242
0.05,440,8816,0,37.299156188964844
0.05,881,17632,0,69.15521621704102
0.05,1322,26448,0,103.23619842529297
0.05,1763,35264,0,137.36200332641602
0.05,2204,44081,0,166.18609428405762
0.05,2644,52897,0,197.8449821472168
0.05,3085,61713,0,256.1969757080078
0.05,3526,70529,0,282.52387046813965
0.05,3967,79345,0,319.8871612548828
0.05,4408,88162,0,361.6321086883545
0.1,88,881,0,10.883092880249023
0.1,440,4408,0,20.240306854248047
0.1,881,8816,0,37.03713417053223
0.1,1763,17632,0,69.41914558410645
0.1,2644,26448,0,108.6890697479248
0.1,3526,35264,0,133.53300094604492
0.1,4408,44081,0,168.9319610595703
0.1,5289,52897,0,197.45588302612305
0.1,6171,61713,0,246.73914909362793
0.1,7052,70529,0,288.03467750549316
0.1,7934,79345,0,319.9617862701416
0.1,8816,88162,0,337.130069732666
