threshold,support,chunk_size,frequent_items,time
0.01,8,881,1,8.275985717773438
0.01,44,4408,0,23.479938507080078
0.01,88,8816,0,37.5370979309082
0.01,176,17632,1,72.53599166870117
0.01,264,26448,0,107.4070930480957
0.01,352,35264,0,151.23414993286133
0.01,440,44081,0,170.33815383911133
0.01,528,52897,0,219.06495094299316
0.01,617,61713,1,259.9947452545166
0.01,705,70529,1,271.08001708984375
0.01,793,79345,1,325.15621185302734
0.01,881,88162,0,362.1838092803955
0.05,44,881,0,10.683059692382812
0.05,220,4408,0,20.494937896728516
0.05,440,8816,0,36.580801010131836
0.05,881,17632,0,70.46985626220703
0.05,1322,26448,0,103.57213020324707
0.05,1763,35264,0,141.0067081451416
0.05,2204,44081,0,175.85086822509766
0.05,2644,52897,0,204.18500900268555
0.05,3085,61713,0,252.87294387817383
0.05,3526,70529,0,297.4259853363037
0.05,3967,79345,0,324.10597801208496
0.05,4408,88162,0,380.22804260253906
0.1,88,881,0,11.677026748657227
0.1,440,4408,0,24.465084075927734
0.1,881,8816,0,38.580894470214844
0.1,1763,17632,0,71.2881088256836
0.1,2644,26448,0,112.70713806152344
0.1,3526,35264,0,136.67678833007812
0.1,4408,44081,0,176.47480964660645
0.1,5289,52897,0,212.98718452453613
0.1,6171,61713,0,251.63888931274414
0.1,7052,70529,0,291.87679290771484
0.1,7934,79345,0,326.65205001831055
0.1,8816,88162,0,349.41887855529785
