Threshold,Frequent Set Count,Execution Time,Chunk Size,Chunk Percent
1.0,90.0,257.47108459472656,881.0,1.0
1.0,94.0,1014.0318870544434,4408.0,5.0
1.0,87.0,2166.1269664764404,8816.0,10.0
1.0,83.0,4715.584993362427,17632.0,20.0
1.0,73.0,9085.5553150177,26448.0,30.0
1.0,72.0,13934.97896194458,35264.0,40.0
1.0,67.0,16335.041999816895,44081.0,50.0
1.0,62.0,20264.43099975586,52897.0,60.0
1.0,57.0,25889.52922821045,61713.0,70.0
1.0,58.0,32344.201803207397,70529.0,80.0
1.0,58.0,37795.604944229126,79345.0,90.0
1.0,58.0,44482.97905921936,88162.0,100.0
