#,threshold,support,chunk_size,c_%,buckets,f_items,time
1,0.01,7,881,0.01,5924,90,102.91099548339844
2,0.01,43,4408,0.05,13562,94,628.3657550811768
3,0.01,87,8816,0.1,16690,87,1201.0228633880615
4,0.01,175,17632,0.2,19822,83,2348.778009414673
5,0.01,263,26448,0.3,23362,73,3575.1819610595703
6,0.01,351,35264,0.4,25412,72,4787.392854690552
7,0.01,439,44081,0.5,27914,67,5943.30906867981
8,0.01,527,52897,0.6,29116,62,7060.909748077393
9,0.01,616,61713,0.7,30150,57,8158.3497524261475
10,0.01,704,70529,0.8,30990,58,9417.014837265015
11,0.01,792,79345,0.9,31964,58,10831.142902374268
12,0.01,880,88162,1,32938,58,12206.231117248535
13,0.05,43,881,0.01,5924,8,67.63482093811035
14,0.05,219,4408,0.05,13562,9,462.45598793029785
15,0.05,439,8816,0.1,16690,9,925.2448081970215
16,0.05,880,17632,0.2,19822,9,1841.0568237304688
17,0.05,1321,26448,0.3,23362,9,2829.0271759033203
18,0.05,1762,35264,0.4,25412,9,3824.0392208099365
19,0.05,2203,44081,0.5,27914,9,4794.879913330078
20,0.05,2643,52897,0.6,29116,8,5753.721714019775
21,0.05,3084,61713,0.7,30150,7,6694.144725799561
22,0.05,3525,70529,0.8,30990,7,7650.876998901367
23,0.05,3966,79345,0.9,31964,7,8816.318988800049
24,0.05,4407,88162,1,32938,7,9882.712602615356
25,0.1,87,881,0.01,5924,5,72.58486747741699
26,0.1,439,4408,0.05,13562,4,463.99903297424316
27,0.1,880,8816,0.1,16690,4,931.6799640655518
28,0.1,1762,17632,0.2,19822,4,1836.2727165222168
29,0.1,2643,26448,0.3,23362,5,2808.1741333007812
30,0.1,3525,35264,0.4,25412,4,3786.1452102661133
31,0.1,4407,44081,0.5,27914,4,4804.431200027466
32,0.1,5288,52897,0.6,29116,4,5760.169267654419
33,0.1,6170,61713,0.7,30150,4,6648.628950119019
34,0.1,7051,70529,0.8,30990,3,7609.825134277344
35,0.1,7933,79345,0.9,31964,3,8803.213119506836
36,0.1,8815,88162,1,32938,4,9874.504804611206
