#,threshold,support,chunk_size,c_%,buckets,f_items,time
1,0.01,7,881,0.01,5924,90,103.81412506103516
2,0.01,43,4408,0.05,13562,94,647.42112159729
3,0.01,87,8816,0.1,16690,87,1224.1370677947998
4,0.01,175,17632,0.2,19822,83,2359.3101501464844
5,0.01,263,26448,0.3,23362,73,3727.2560596466064
6,0.01,351,35264,0.4,25412,72,4907.14430809021
7,0.01,439,44081,0.5,27914,67,6107.82790184021
8,0.01,527,52897,0.6,29116,62,7240.396022796631
9,0.01,616,61713,0.7,30150,57,8366.254091262817
10,0.01,704,70529,0.8,30990,58,9600.986957550049
11,0.01,792,79345,0.9,31964,58,11114.012002944946
12,0.01,880,88162,1,32938,58,12649.876117706299
13,0.05,43,881,0.01,5924,8,73.76599311828613
14,0.05,219,4408,0.05,13562,9,470.97277641296387
15,0.05,439,8816,0.1,16690,9,939.5859241485596
16,0.05,880,17632,0.2,19822,9,1861.109972000122
17,0.05,1321,26448,0.3,23362,9,2880.056142807007
18,0.05,1762,35264,0.4,25412,9,3905.8990478515625
19,0.05,2203,44081,0.5,27914,9,4908.919095993042
20,0.05,2643,52897,0.6,29116,8,5929.505109786987
21,0.05,3084,61713,0.7,30150,7,7074.041128158569
22,0.05,3525,70529,0.8,30990,7,8452.88610458374
23,0.05,3966,79345,0.9,31964,7,9517.837762832642
24,0.05,4407,88162,1,32938,7,10339.233875274658
25,0.1,87,881,0.01,5924,5,69.78797912597656
26,0.1,439,4408,0.05,13562,4,481.6768169403076
27,0.1,880,8816,0.1,16690,4,945.4460144042969
28,0.1,1762,17632,0.2,19822,4,1859.3380451202393
29,0.1,2643,26448,0.3,23362,5,2919.170141220093
30,0.1,3525,35264,0.4,25412,4,3932.3530197143555
31,0.1,4407,44081,0.5,27914,4,4920.938968658447
32,0.1,5288,52897,0.6,29116,4,5924.199104309082
33,0.1,6170,61713,0.7,30150,4,6857.274770736694
34,0.1,7051,70529,0.8,30990,3,7943.194150924683
35,0.1,7933,79345,0.9,31964,3,9285.908937454224
36,0.1,8815,88162,1,32938,4,10312.184810638428
