#,threshold,support,chunk_size,c_%,buckets,f_items,time
1,0.01,7,881,0.01,5924,90,102.80799865722656
2,0.01,43,4408,0.05,13562,94,635.2298259735107
3,0.01,87,8816,0.1,16690,87,1225.1408100128174
4,0.01,175,17632,0.2,19822,83,2367.8431510925293
5,0.01,263,26448,0.3,23362,73,3675.1341819763184
6,0.01,351,35264,0.4,25412,72,4966.304779052734
7,0.01,439,44081,0.5,27914,67,6097.714900970459
8,0.01,527,52897,0.6,29116,62,7085.530042648315
9,0.01,616,61713,0.7,30150,57,8134.3371868133545
10,0.01,704,70529,0.8,30990,58,9337.172031402588
11,0.01,792,79345,0.9,31964,58,10835.636854171753
12,0.01,880,88162,1,32938,58,12267.353773117065
13,0.05,43,881,0.01,5924,8,68.14694404602051
14,0.05,219,4408,0.05,13562,9,473.87123107910156
15,0.05,439,8816,0.1,16690,9,925.4462718963623
16,0.05,880,17632,0.2,19822,9,1835.6897830963135
17,0.05,1321,26448,0.3,23362,9,2813.934087753296
18,0.05,1762,35264,0.4,25412,9,3813.6017322540283
19,0.05,2203,44081,0.5,27914,9,4813.952207565308
20,0.05,2643,52897,0.6,29116,8,5782.743215560913
21,0.05,3084,61713,0.7,30150,7,6725.2678871154785
22,0.05,3525,70529,0.8,30990,7,7691.467046737671
23,0.05,3966,79345,0.9,31964,7,8889.371871948242
24,0.05,4407,88162,1,32938,7,9874.536037445068
25,0.1,87,881,0.01,5924,5,66.85614585876465
26,0.1,439,4408,0.05,13562,4,487.81895637512207
27,0.1,880,8816,0.1,16690,4,937.6072883605957
28,0.1,1762,17632,0.2,19822,4,1833.4789276123047
29,0.1,2643,26448,0.3,23362,5,2815.4518604278564
30,0.1,3525,35264,0.4,25412,4,3816.8132305145264
31,0.1,4407,44081,0.5,27914,4,4814.368963241577
32,0.1,5288,52897,0.6,29116,4,5757.791996002197
33,0.1,6170,61713,0.7,30150,4,6661.490917205811
34,0.1,7051,70529,0.8,30990,3,7659.109830856323
35,0.1,7933,79345,0.9,31964,3,8819.134950637817
36,0.1,8815,88162,1,32938,4,9856.702327728271
