#,threshold,support,chunk_size,c_%,buckets,f_items,time
1,0.01,7,881,0.01,5924,90,102.48684883117676
2,0.01,43,4408,0.05,13562,94,629.2750835418701
3,0.01,87,8816,0.1,16690,87,1202.948808670044
4,0.01,175,17632,0.2,19822,83,2332.7150344848633
5,0.01,263,26448,0.3,23362,73,3610.718011856079
6,0.01,351,35264,0.4,25412,72,4806.89001083374
7,0.01,439,44081,0.5,27914,67,5976.195812225342
8,0.01,527,52897,0.6,29116,62,7066.7760372161865
9,0.01,616,61713,0.7,30150,57,8184.577941894531
10,0.01,704,70529,0.8,30990,58,9413.2981300354
11,0.01,792,79345,0.9,31964,58,10920.263767242432
12,0.01,880,88162,1,32938,58,12340.65294265747
13,0.05,43,881,0.01,5924,8,70.61028480529785
14,0.05,219,4408,0.05,13562,9,467.6237106323242
15,0.05,439,8816,0.1,16690,9,925.3277778625488
16,0.05,880,17632,0.2,19822,9,1840.287685394287
17,0.05,1321,26448,0.3,23362,9,2822.8490352630615
18,0.05,1762,35264,0.4,25412,9,3864.5622730255127
19,0.05,2203,44081,0.5,27914,9,4856.758117675781
20,0.05,2643,52897,0.6,29116,8,5810.620307922363
21,0.05,3084,61713,0.7,30150,7,6753.957271575928
22,0.05,3525,70529,0.8,30990,7,7751.865863800049
23,0.05,3966,79345,0.9,31964,7,8867.836952209473
24,0.05,4407,88162,1,32938,7,9918.686866760254
25,0.1,87,881,0.01,5924,5,66.51711463928223
26,0.1,439,4408,0.05,13562,4,467.3130512237549
27,0.1,880,8816,0.1,16690,4,937.8068447113037
28,0.1,1762,17632,0.2,19822,4,1844.588041305542
29,0.1,2643,26448,0.3,23362,5,2824.345111846924
30,0.1,3525,35264,0.4,25412,4,3821.998119354248
31,0.1,4407,44081,0.5,27914,4,4856.422901153564
32,0.1,5288,52897,0.6,29116,4,5744.8060512542725
33,0.1,6170,61713,0.7,30150,4,6696.0508823394775
34,0.1,7051,70529,0.8,30990,3,7700.628995895386
35,0.1,7933,79345,0.9,31964,3,8897.552251815796
36,0.1,8815,88162,1,32938,4,9882.075071334839
