#,threshold,support,chunk_size,c_%,f_items,time
1,0.01,8,881,0.01,90,782.9549312591553
2,0.01,44,4408,0.05,94,8667.845964431763
3,0.01,88,8816,0.1,87,22509.48405265808
4,0.01,176,17632,0.2,83,49221.16017341614
5,0.01,264,26448,0.3,73,87014.60289955139
6,0.01,352,35264,0.4,72,130763.31210136414
7,0.01,440,44081,0.5,67,187654.62183952332
8,0.01,528,52897,0.6,62,237523.2479572296
9,0.01,617,61713,0.7,57,304970.8631038666
10,0.01,705,70529,0.8,58,370400.78592300415
11,0.01,793,79345,0.9,58,459355.8828830719
12,0.01,881,88162,1,58,535487.8001213074
