threshold,support,chunk_size,c_%,f_items,time
0.1,88,881,0.01,4,586.047887802124
0.1,440,4408,0.05,5,5091.797828674316
0.1,881,8816,0.1,3,10094.14291381836
0.1,1763,17632,0.2,5,20112.33687400818
0.1,2644,26448,0.3,5,31381.007194519043
0.1,3526,35264,0.4,5,43606.16683959961
