#,threshold,support,chunk_size,c_%,f_items,time
1,0.01,8,881,0.01,70,140.48099517822266
2,0.01,44,4408,0.05,381,922.0221042633057
3,0.01,88,8816,0.1,614,2165.4610633850098
4,0.01,176,17632,0.2,841,5024.620056152344
5,0.01,264,26448,0.3,1116,10524.690866470337
6,0.01,352,35264,0.4,1275,14967.762231826782
7,0.01,440,44081,0.5,1405,21219.354152679443
8,0.01,528,52897,0.6,1491,28484.648942947388
9,0.01,617,61713,0.7,1535,37827.574014663696
10,0.01,705,70529,0.8,1580,47925.763845443726
11,0.01,793,79345,0.9,1634,62325.9379863739
12,0.01,881,88162,1,1688,77328.14693450928
