#,threshold,support,chunk_size,c_%,f_items,time
1,0.01,8,881,0.01,90,723.1254577636719
2,0.01,44,4408,0.05,94,8511.531114578247
3,0.01,88,8816,0.1,87,21410.221099853516
4,0.01,176,17632,0.2,83,49697.885274887085
5,0.01,264,26448,0.3,73,90185.02187728882
6,0.01,352,35264,0.4,72,136301.45382881165
7,0.01,440,44081,0.5,67,181685.22882461548
8,0.01,528,52897,0.6,62,246471.59886360168
9,0.01,617,61713,0.7,57,314756.973028183
10,0.01,705,70529,0.8,58,390788.6757850647
11,0.01,793,79345,0.9,58,456643.3217525482
12,0.01,881,88162,1,58,547457.6568603516
